date_of_incident,incident_month,day_of_week,incident_hour,sex_code,relationship_name,offense_category_name,crime_against,county_name,lat,lon,region,average_high,average_low,avg_temp_class,days_with_precipitation_,av._precipitation_in_inch_,minutes_of_dark,day_class,is_male,is_a_couple,good_weather
2021-02-17,Feb,Wednesday,16.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,40,24,Cold,11,6.97,791,Dark,1,0,0
2021-02-22,Feb,Monday,12.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,40,24,Cold,11,6.97,779,Dark,1,0,0
2021-08-01,Aug,Sunday,0.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,84,63,Warm,10,3.11,585,Sunny,0,0,1
2021-07-05,Jul,Monday,20.0,M,couple,Destruction of Property,Property,Delaware,40.27839378,-83.00488535,Central,85,65,Warm,10,4.06,546,Sunny,1,1,1
2021-04-04,Apr,Sunday,4.0,M,couple,Burglary,Property,Cuyahoga,41.63505906,-81.70019592,North,63,41,Cold,13,3.23,671,Sunny,1,1,1
2021-04-04,Apr,Sunday,4.0,M,couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,63,41,Cold,13,3.23,671,Sunny,1,1,1
2021-11-30,Nov,Tuesday,11.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,866,Dark,1,1,0
2021-11-06,Nov,Saturday,18.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,823,Dark,1,0,0
2021-03-21,Mar,Sunday,23.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,52,32,Cold,13,6.1,708,Sunny,1,1,1
2021-03-10,Mar,Wednesday,21.0,M,couple,Assault,Person,Lucas,41.6841907,-83.46827478,Central,52,32,Cold,13,6.1,737,Dark,1,1,0
2021-06-27,Jun,Sunday,12.0,F,ex-couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,541,Sunny,0,0,1
2021-10-14,Oct,Thursday,21.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,65,44,Cold,9,1.65,768,Dark,1,1,0
2021-09-04,Sep,Saturday,17.0,F,ex-couple,Assault,Person,Franklin,39.96954615,-83.00929814,Central,77,56,Cold,8,2.64,665,Sunny,0,0,1
2021-12-24,Dec,Friday,7.0,F,ex-couple,Theft,Property,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,880,Dark,0,0,0
2021-09-18,Sep,Saturday,13.0,F,ex-couple,Theft,Property,Delaware,40.27839378,-83.00488535,Central,77,56,Cold,8,2.64,701,Sunny,0,0,1
2021-04-03,Apr,Saturday,3.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,63,41,Cold,13,3.23,674,Sunny,1,1,1
2021-06-01,Jun,Tuesday,19.0,M,couple,Assault,Person,Trumbull,41.31717409,-80.76116027,North,82,61,Warm,10,3.98,550,Sunny,1,1,1
2021-10-04,Oct,Monday,7.0,M,ex-couple,Theft,Property,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,743,Dark,1,0,0
2021-10-04,Oct,Monday,7.0,M,ex-couple,Burglary,Property,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,743,Dark,1,0,0
2021-10-21,Oct,Thursday,2.0,F,ex-couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,786,Dark,0,0,0
2021-07-20,Jul,Tuesday,15.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,85,65,Warm,10,4.06,564,Sunny,1,1,1
2021-03-22,Mar,Monday,20.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,32,Cold,13,6.1,705,Sunny,1,1,1
2021-11-17,Nov,Wednesday,20.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,846,Dark,1,1,0
2021-08-07,Aug,Saturday,22.0,F,ex-couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,84,63,Warm,10,3.11,598,Sunny,0,0,1
2021-08-07,Aug,Saturday,22.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,84,63,Warm,10,3.11,598,Sunny,0,0,1
2021-07-06,Jul,Tuesday,8.0,U,ex-couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,85,65,Warm,10,4.06,546,Sunny,0,0,1
2021-07-27,Jul,Tuesday,12.0,F,ex-couple,Theft,Property,Cuyahoga,41.63505906,-81.70019592,North,85,65,Warm,10,4.06,576,Sunny,0,0,1
2021-12-13,Dec,Monday,12.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,878,Dark,1,1,0
2021-07-03,Jul,Saturday,22.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,85,65,Warm,10,4.06,544,Sunny,1,0,1
2021-05-30,May,Sunday,16.0,M,ex-couple,Assault,Person,Summit,41.12597925,-81.53216702,North,73,52,Cold,12,3.5,553,Sunny,1,0,1
2021-09-13,Sep,Monday,0.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,77,56,Cold,8,2.64,688,Sunny,0,1,1
2021-09-09,Sep,Thursday,17.0,M,ex-couple,Assault,Person,Butler,39.43861647,-84.57564494,South,77,56,Cold,8,2.64,678,Sunny,1,0,1
2021-07-06,Jul,Tuesday,11.0,F,ex-couple,Assault,Person,Butler,39.43861647,-84.57564494,South,85,65,Warm,10,4.06,546,Sunny,0,0,1
2021-10-16,Oct,Saturday,8.0,M,couple,Assault,Person,Richland,40.77468434,-82.53648439,Central,65,44,Cold,9,1.65,773,Dark,1,1,0
2021-06-01,Jun,Tuesday,12.0,M,ex-couple,Sex Offense,Person,Licking,40.09160792,-82.48310092,Central,82,61,Warm,10,3.98,550,Sunny,1,0,1
2021-03-08,Mar,Monday,18.0,M,ex-couple,Assault,Person,Lorain,41.45251152,-82.15149047,North,52,32,Cold,13,6.1,742,Dark,1,0,0
2021-08-01,Aug,Sunday,0.0,M,ex-couple,Sex Offense,Person,Van Wert,40.85539824,-84.58609913,,84,63,Warm,10,3.11,585,Sunny,1,0,1
2021-05-15,May,Saturday,19.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,73,52,Cold,12,3.5,576,Sunny,0,1,1
2021-12-07,Dec,Tuesday,11.0,M,ex-couple,Sex Offense,Person,Ashland,40.84602419,-82.27069277,Central,41,26,Cold,13,7.4,874,Dark,1,0,0
2021-08-29,Aug,Sunday,20.0,M,ex-couple,Assault,Person,Stark,40.81388809,-81.3656367,North,84,63,Warm,10,3.11,650,Sunny,1,0,1
2021-06-10,Jun,Thursday,19.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,542,Sunny,1,1,1
2021-10-05,Oct,Tuesday,17.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,745,Dark,1,1,0
2021-10-14,Oct,Thursday,10.0,M,ex-couple,Sex Offense,Person,Montgomery,39.75460934,-84.2906502,South,65,44,Cold,9,1.65,768,Dark,1,0,0
2021-12-05,Dec,Sunday,16.0,F,ex-couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,872,Dark,0,0,0
2021-12-05,Dec,Sunday,16.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,872,Dark,0,0,0
2021-10-11,Oct,Monday,15.0,M,ex-couple,Sex Offense,Person,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,761,Dark,1,0,0
2021-03-14,Mar,Sunday,2.0,M,ex-couple,Sex Offense,Person,Montgomery,39.75460934,-84.2906502,South,52,32,Cold,13,6.1,726,Dark,1,0,0
2021-11-19,Nov,Friday,4.0,M,couple,Assault,Person,Allen,40.77152071,-84.10577943,Central,52,35,Cold,11,3.82,849,Dark,1,1,0
2021-11-04,Nov,Thursday,13.0,F,ex-couple,Assault,Person,Licking,40.09160792,-82.48310092,Central,52,35,Cold,11,3.82,819,Dark,0,0,0
2021-06-11,Jun,Friday,11.0,M,ex-couple,Sex Offense,Person,Licking,40.09160792,-82.48310092,Central,82,61,Warm,10,3.98,542,Sunny,1,0,1
2021-09-26,Sep,Sunday,10.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,77,56,Cold,8,2.64,722,Dark,1,1,0
2021-06-21,Jun,Monday,16.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,539,Sunny,0,0,1
2021-12-07,Dec,Tuesday,7.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,874,Dark,0,1,0
2021-09-01,Sep,Wednesday,14.0,M,ex-couple,Assault,Person,Pickaway,39.6419411,-83.02439163,Central,77,56,Cold,8,2.64,657,Sunny,1,0,1
2021-04-21,Apr,Wednesday,1.0,F,couple,Assault,Person,Franklin,39.96954615,-83.00929814,Central,63,41,Cold,13,3.23,628,Sunny,0,1,1
2021-08-21,Aug,Saturday,16.0,M,ex-couple,Sex Offense,Person,Scioto,38.80396194,-82.99283103,South,84,63,Warm,10,3.11,630,Sunny,1,0,1
2021-10-09,Oct,Saturday,9.0,M,ex-couple,Assault,Person,Montgomery,39.75460934,-84.2906502,South,65,44,Cold,9,1.65,755,Dark,1,0,0
2021-10-09,Oct,Saturday,9.0,M,ex-couple,Assault,Person,Montgomery,39.75460934,-84.2906502,South,65,44,Cold,9,1.65,755,Dark,1,0,0
2021-10-09,Oct,Saturday,9.0,M,ex-couple,Destruction of Property,Property,Montgomery,39.75460934,-84.2906502,South,65,44,Cold,9,1.65,755,Dark,1,0,0
2021-10-09,Oct,Saturday,9.0,M,ex-couple,Destruction of Property,Property,Montgomery,39.75460934,-84.2906502,South,65,44,Cold,9,1.65,755,Dark,1,0,0
2021-07-30,Jul,Friday,15.0,F,ex-couple,Assault,Person,Ashland,40.84602419,-82.27069277,Central,85,65,Warm,10,4.06,582,Sunny,0,0,1
2021-11-21,Nov,Sunday,0.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,853,Dark,0,0,0
2021-01-01,Jan,Friday,0.0,M,ex-couple,Sex Offense,Person,Licking,40.09160792,-82.48310092,Central,36,20,Cold,13,9.65,876,Dark,1,0,0
2021-07-07,Jul,Wednesday,1.0,F,ex-couple,Assault,Person,Mahoning,41.01464011,-80.77629506,North,85,65,Warm,10,4.06,547,Sunny,0,0,1
2021-09-26,Sep,Sunday,1.0,F,couple,Assault,Person,Stark,40.81388809,-81.3656367,North,77,56,Cold,8,2.64,722,Dark,0,1,0
2021-06-18,Jun,Friday,21.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,539,Sunny,1,0,1
2021-04-15,Apr,Thursday,17.0,M,ex-couple,Sex Offense,Person,Cuyahoga,41.63505906,-81.70019592,North,63,41,Cold,13,3.23,643,Sunny,1,0,1
2021-07-21,Jul,Wednesday,18.0,F,ex-couple,Assault,Person,Scioto,38.80396194,-82.99283103,South,85,65,Warm,10,4.06,566,Sunny,0,0,1
2021-04-17,Apr,Saturday,21.0,F,couple,Assault,Person,Allen,40.77152071,-84.10577943,Central,63,41,Cold,13,3.23,638,Sunny,0,1,1
2021-04-17,Apr,Saturday,21.0,F,couple,Assault,Person,Allen,40.77152071,-84.10577943,Central,63,41,Cold,13,3.23,638,Sunny,0,1,1
2021-08-09,Aug,Monday,0.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,84,63,Warm,10,3.11,602,Sunny,1,1,1
2021-11-05,Nov,Friday,0.0,M,ex-couple,Assault,Person,Miami,40.05347551,-84.22887177,South,52,35,Cold,11,3.82,821,Dark,1,0,0
2021-07-13,Jul,Tuesday,17.0,M,ex-couple,Assault,Person,Lorain,41.45251152,-82.15149047,North,85,65,Warm,10,4.06,554,Sunny,1,0,1
2021-11-18,Nov,Thursday,20.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,52,35,Cold,11,3.82,848,Dark,1,1,0
2021-11-18,Nov,Thursday,20.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,848,Dark,1,1,0
2021-02-01,Feb,Monday,8.0,M,ex-couple,Assault,Person,Licking,40.09160792,-82.48310092,Central,40,24,Cold,11,6.97,829,Dark,1,0,0
2021-05-18,May,Tuesday,17.0,M,ex-couple,Assault,Person,Ashland,40.84602419,-82.27069277,Central,73,52,Cold,12,3.5,570,Sunny,1,0,1
2021-12-18,Dec,Saturday,14.0,M,ex-couple,Assault,Person,Franklin,39.96954615,-83.00929814,Central,41,26,Cold,13,7.4,880,Dark,1,0,0
2021-11-15,Nov,Monday,12.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,842,Dark,1,0,0
2021-12-30,Dec,Thursday,16.0,M,ex-couple,Assault,Person,Hancock,41.00193838,-83.66653541,Central,41,26,Cold,13,7.4,878,Dark,1,0,0
2021-05-08,May,Saturday,18.0,M,ex-couple,Assault,Person,Mahoning,41.01464011,-80.77629506,North,73,52,Cold,12,3.5,590,Sunny,1,0,1
2021-07-12,Jul,Monday,19.0,M,ex-couple,Assault,Person,Portage,41.16768284,-81.19740374,North,85,65,Warm,10,4.06,553,Sunny,1,0,1
2021-07-30,Jul,Friday,14.0,F,ex-couple,Burglary,Property,Licking,40.09160792,-82.48310092,Central,85,65,Warm,10,4.06,582,Sunny,0,0,1
2021-01-01,Jan,Friday,0.0,M,ex-couple,Sex Offense,Person,Clermont,39.04743293,-84.15191789,South,36,20,Cold,13,9.65,876,Dark,1,0,0
2021-10-03,Oct,Sunday,17.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,740,Dark,0,0,0
2021-10-03,Oct,Sunday,17.0,F,ex-couple,Burglary,Property,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,740,Dark,0,0,0
2021-10-07,Oct,Thursday,14.0,M,ex-couple,Assault,Person,Logan,40.38847334,-83.76585017,Central,65,44,Cold,9,1.65,750,Dark,1,0,0
2021-11-25,Nov,Thursday,23.0,F,ex-couple,Burglary,Property,Montgomery,39.75460934,-84.2906502,South,52,35,Cold,11,3.82,859,Dark,0,0,0
2021-10-05,Oct,Tuesday,22.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,745,Dark,1,0,0
2021-09-09,Sep,Thursday,12.0,M,ex-couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,77,56,Cold,8,2.64,678,Sunny,1,0,1
2021-09-13,Sep,Monday,8.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,77,56,Cold,8,2.64,688,Sunny,1,0,1
2021-10-20,Oct,Wednesday,22.0,M,ex-couple,Robbery,Property,Montgomery,39.75460934,-84.2906502,South,65,44,Cold,9,1.65,783,Dark,1,0,0
2021-12-03,Dec,Friday,10.0,M,ex-couple,Sex Offense,Person,Hamilton,39.19553418,-84.54276767,South,41,26,Cold,13,7.4,870,Dark,1,0,0
2021-10-01,Oct,Friday,1.0,M,couple,Burglary,Property,Montgomery,39.75460934,-84.2906502,South,65,44,Cold,9,1.65,735,Dark,1,1,0
2021-12-07,Dec,Tuesday,17.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,874,Dark,0,0,0
2021-09-10,Sep,Friday,13.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,77,56,Cold,8,2.64,680,Sunny,1,1,1
2021-05-01,May,Saturday,0.0,M,ex-couple,Assault,Person,Summit,41.12597925,-81.53216702,North,73,52,Cold,12,3.5,605,Sunny,1,0,1
2021-05-24,May,Monday,16.0,F,couple,Burglary,Property,Cuyahoga,41.63505906,-81.70019592,North,73,52,Cold,12,3.5,561,Sunny,0,1,1
2021-05-24,May,Monday,16.0,F,couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,73,52,Cold,12,3.5,561,Sunny,0,1,1
2021-05-24,May,Monday,16.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,73,52,Cold,12,3.5,561,Sunny,0,1,1
2021-06-26,Jun,Saturday,10.0,F,ex-couple,Destruction of Property,Property,Hamilton,39.19553418,-84.54276767,South,82,61,Warm,10,3.98,540,Sunny,0,0,1
2021-10-06,Oct,Wednesday,17.0,F,ex-couple,Destruction of Property,Property,Franklin,39.96954615,-83.00929814,Central,65,44,Cold,9,1.65,748,Dark,0,0,0
2021-07-31,Jul,Saturday,11.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,85,65,Warm,10,4.06,583,Sunny,0,0,1
2021-08-22,Aug,Sunday,19.0,M,ex-couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,84,63,Warm,10,3.11,632,Sunny,1,0,1
2021-08-01,Aug,Sunday,17.0,M,ex-couple,Sex Offense,Person,Licking,40.09160792,-82.48310092,Central,84,63,Warm,10,3.11,585,Sunny,1,0,1
2021-04-19,Apr,Monday,22.0,F,ex-couple,Robbery,Property,Stark,40.81388809,-81.3656367,North,63,41,Cold,13,3.23,633,Sunny,0,0,1
2021-04-19,Apr,Monday,22.0,F,ex-couple,Destruction of Property,Property,Stark,40.81388809,-81.3656367,North,63,41,Cold,13,3.23,633,Sunny,0,0,1
2021-03-25,Mar,Thursday,22.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,32,Cold,13,6.1,697,Sunny,0,0,1
2021-10-14,Oct,Thursday,21.0,M,couple,Assault,Person,Portage,41.16768284,-81.19740374,North,65,44,Cold,9,1.65,768,Dark,1,1,0
2021-03-11,Mar,Thursday,15.0,M,couple,Assault,Person,Richland,40.77468434,-82.53648439,Central,52,32,Cold,13,6.1,734,Dark,1,1,0
2021-10-25,Oct,Monday,12.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,796,Dark,1,0,0
2021-09-22,Sep,Wednesday,10.0,F,ex-couple,Theft,Property,Summit,41.12597925,-81.53216702,North,77,56,Cold,8,2.64,711,Sunny,0,0,1
2021-03-18,Mar,Thursday,15.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,52,32,Cold,13,6.1,716,Sunny,1,1,1
2021-10-29,Oct,Friday,20.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,805,Dark,1,0,0
2021-03-28,Mar,Sunday,,M,ex-couple,Theft,Property,Sandusky,41.35741643,-83.14391569,Central,52,32,Cold,13,6.1,689,Sunny,1,0,1
2021-12-18,Dec,Saturday,18.0,M,ex-couple,Assault,Person,Montgomery,39.75460934,-84.2906502,South,41,26,Cold,13,7.4,880,Dark,1,0,0
2021-04-09,Apr,Friday,22.0,M,ex-couple,Destruction of Property,Property,Ashland,40.84602419,-82.27069277,Central,63,41,Cold,13,3.23,658,Sunny,1,0,1
2021-08-28,Aug,Saturday,14.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,84,63,Warm,10,3.11,647,Sunny,1,0,1
2021-05-29,May,Saturday,9.0,F,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,73,52,Cold,12,3.5,554,Sunny,0,1,1
2021-10-31,Oct,Sunday,1.0,F,couple,Assault,Person,Mahoning,41.01464011,-80.77629506,North,65,44,Cold,9,1.65,810,Dark,0,1,0
2021-09-24,Sep,Friday,12.0,F,ex-couple,Assault,Person,Montgomery,39.75460934,-84.2906502,South,77,56,Cold,8,2.64,717,Sunny,0,0,1
2021-12-19,Dec,Sunday,15.0,F,ex-couple,Assault,Person,Ross,39.33762773,-83.05702558,South,41,26,Cold,13,7.4,880,Dark,0,0,0
2021-12-19,Dec,Sunday,0.0,M,couple,Assault,Person,Lorain,41.45251152,-82.15149047,North,41,26,Cold,13,7.4,880,Dark,1,1,0
2021-12-25,Dec,Saturday,3.0,F,couple,Assault,Person,Butler,39.43861647,-84.57564494,South,41,26,Cold,13,7.4,880,Dark,0,1,0
2021-07-09,Jul,Friday,22.0,F,couple,Destruction of Property,Property,Ashland,40.84602419,-82.27069277,Central,85,65,Warm,10,4.06,549,Sunny,0,1,1
2021-12-31,Dec,Friday,15.0,F,ex-couple,Assault,Person,Miami,40.05347551,-84.22887177,South,41,26,Cold,13,7.4,877,Dark,0,0,0
2021-09-20,Sep,Monday,13.0,F,ex-couple,Assault,Person,Hancock,41.00193838,-83.66653541,Central,77,56,Cold,8,2.64,706,Sunny,0,0,1
2021-09-20,Sep,Monday,13.0,F,ex-couple,Assault,Person,Hancock,41.00193838,-83.66653541,Central,77,56,Cold,8,2.64,706,Sunny,0,0,1
2021-06-07,Jun,Monday,10.0,M,ex-couple,Assault,Person,Summit,41.12597925,-81.53216702,North,82,61,Warm,10,3.98,545,Sunny,1,0,1
2021-06-07,Jun,Monday,10.0,M,ex-couple,Burglary,Property,Summit,41.12597925,-81.53216702,North,82,61,Warm,10,3.98,545,Sunny,1,0,1
2021-10-07,Oct,Thursday,16.0,M,ex-couple,Abduction,Person,Coshocton,40.30164138,-81.92001074,South,65,44,Cold,9,1.65,750,Dark,1,0,0
2021-10-07,Oct,Thursday,16.0,M,ex-couple,Sex Offense,Person,Coshocton,40.30164138,-81.92001074,South,65,44,Cold,9,1.65,750,Dark,1,0,0
